country,year,suicides_no,population,gdp_for_year,gdp_per_capita,population_change,gdp_per_capita_change,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,mean_age,female
Armenia,2007,71,2735313,9206301700,3366,-29083,0.3137254901960784,0.2049849505339974,0.15051476741418623,0.2950324149375227,0.1466413532930235,0.15584614996528734,0.046980363855982844,37.48134491372651,0.5352838962122434
Armenia,2008,63,3045391,11662040714,3829,310078,0.12091930007834945,0.20582020502457649,0.1657974296239793,0.29787636464414585,0.1375721541174844,0.1507990271199987,0.042134819469815205,37.25388135710652,0.5191445039405449
Armenia,2009,53,2689695,8647936748,3215,-355696,-0.19097978227060652,0.20013681848685447,0.15958240618360076,0.29188588297186113,0.1368891268340834,0.16299208646333507,0.0485136790602652,38.012112897559014,0.5367010014146585
Armenia,2010,73,2676225,9260284938,3460,-13470,0.0708092485549133,0.19537931227755514,0.1643311007108894,0.28932918570000654,0.13409335911591888,0.16675802669805417,0.050109015497575876,38.29680426720474,0.5370411680632233
Armenia,2011,67,2670366,10142111334,3798,-5859,0.0889942074776198,0.1891313774965679,0.17032346876795165,0.2858701765975151,0.13233429425030127,0.16908655967009767,0.05325412321756643,38.5970593544106,0.5370432367697912
Armenia,2012,79,2814300,10619320049,3773,143934,-0.0066260270341902995,0.18129090715275556,0.1795156877376257,0.2862864655509363,0.12773158511885727,0.17264541804356323,0.052529936396261946,38.85849234267846,0.5242888107166969
Armenia,2013,67,2810664,11121465767,3957,-3636,0.04649987364164771,0.1729388500368596,0.18362315808648774,0.28259550056499105,0.1287400414990906,0.17740612182744006,0.05469632798513092,39.15225548126706,0.5249980075882424
Armenia,2014,58,2803029,11609512940,4142,-7635,0.04466441332689522,0.16362834633533938,0.18672585977526454,0.2786952971232192,0.13139607189222802,0.1831062040385597,0.05644822083538915,39.429593842946325,0.5258358011993455
Armenia,2015,74,2795335,10553337673,3775,-7694,-0.09721854304635762,0.1534291954273817,0.18947568001688528,0.27512802580012774,0.1346772390429054,0.1892971683179297,0.057992691394770216,39.714082569709895,0.5268009022174445
Aruba,1995,8,73581,1320670391,17949,NA,NA,0.1408651689974314,0.2032997648849567,0.33005803128525024,0.16402332123781954,0.1320721381878474,0.029681575406694662,36.51676383849092,0.5073184653647002
Aruba,1999,9,81934,1722798883,21027,8353,0.14638322157226424,0.1341445553738375,0.1762638221007152,0.3509898210754998,0.1672931871994532,0.14141870285839822,0.029889911392096076,37.17113774501428,0.5171967681304465
Aruba,2000,10,83888,1873452514,22333,1954,0.058478484753503784,0.13338022124737745,0.16897530040053405,0.3558554262826626,0.1679024413503719,0.1442280183101278,0.029658592408926186,37.32518357810414,0.5198121304596605
Aruba,2001,4,86045,1920262570,22317,2157,-7.16942241340682e-4,0.13491777558254403,0.1618687895868441,0.3588006275785926,0.1678656516938811,0.1468882561450404,0.029658899413097798,37.447847056772616,0.5217037596606426
